ISBN,Control Number,Title
051488003991,012819103928,More Tails of Oliver Pig / Jean Van Leeuwen.
9780007178940,020619084913,"I'll show you, Blue Kangaroo! / Emma Chichester Clark."
9780020437505,bt 03124773,Rosie's walk / by Pat Hutchins.
9780021477029,021219092108,Learning from our Mothers / Leya Roberts.
9780021477678,021219091155,Dear Pen Pal / Betsy Franco.
9780021496723,  2003267239,Honest Abe / written by Stephen Rogers ; illustrated by Benton Mahan.
9780022784591,020719153710,Good Morning / Nancy Horn.
9780022784928,021219092403,Sunset Surprise / Gail Tuchman.
9780027351903,ocm35242112,Prayer for a child / by Rachel Field ; pictures by Elizabeth Orton Jones.
9780027379105,in900013273,The big snow / by Berta and Elmer Hader.
9780027426410,   94011114,The amazing impossible Erie Canal / by Cheryl Harness.
9780027440003,in900012516,One fine day / by Nonny Hogrogian.
9780027731002,in900024920,The rooster crows : a book of American rhymes and jingles / Maud and Miska Petersham.
9780027860306,in900013116,Call it courage / Armstrong Sperry ; illustrations by the author.
9780030635182,   82023426,Everett Anderson's goodbye / by Lucille Clifton ; illustrated by Ann Grifalconi.
9780060000561,  2002027341,El ratoncito de la moto / Beverly Cleary ; ilustrado por Louis Darling ; traducido por Lydia Permanyer Netto.
9780060000578,  2002027341,El ratoncito de la moto / Beverly Cleary ; ilustrado por Louis Darling ; traducido por Lydia Permanyer Netto.
9780060010126,bt2002005840,Owen's marshmallow chick / Kevin Henkes.
9780060011116,bl2008004195,El canguro tiene mama? / por Eric Carle ; traduccion de Teresa Mlawer.
9780060091101,  2004557612,A drop of blood / by Paul Showers ; illustrated by Edward Miller.
9780060201432,csp00014608,Sounder / by William H. Armstrong ; illustrations by James Barkley.
9780060201449,csp00014608,Sounder / by William H. Armstrong ; illustrations by James Barkley.
9780060202521,   91012067,Circus / Lois Ehlert.
9780060202538,   91012067,Circus / Lois Ehlert.
9780060206819,   63017525,Flat Stanley / by Jeff Brown ; pictures by Tomi Ungerer.
9780060210878,   91046043,Brown honey in broomwheat tea : poems / by Joyce Carol Thomas ; illustrated by Floyd Cooper.
9780060210885,   91046043,Brown honey in broomwheat tea : poems / by Joyce Carol Thomas ; illustrated by Floyd Cooper.
9780060223502,   94043809,Bedtime for Frances / by Russell Hoban ; pictures by Garth Williams.
9780060223519,   94043809,Bedtime for Frances / by Russell Hoban ; pictures by Garth Williams.
9780060233969,in900155260,The happy day / by Ruth Krauss ; pictures by Marc Simont.
9780060234560,hcs92053317,A very special house; pictures by Maurice Sendak.
9780060239503,csp00014675,Frog and Toad all year / by Arnold Lobel.
9780060239510,csp00014675,Frog and Toad all year / by Arnold Lobel.
9780060239572,in900044106,Frog and Toad are friends / by Arnold Lobel.
9780060239589,in900044106,Frog and Toad are friends / by Arnold Lobel.
9780060239732,   79002004,Fables / written and illustrated by Arnold Lobel.
9780060239749,   79002004,Fables / written and illustrated by Arnold Lobel.
9780060242404,bl 99723088,Little bear / by Else Holmelund Minarek ; pictures by Maurice Sendak.
9780060242411,bl 99723088,Little bear / by Else Holmelund Minarek ; pictures by Maurice Sendak.
9780060253301,in900034399,"Se venden gorras : la historia de un vendedor ambulante, unos monos y sus travesuras / relatado e ilustrado por Esphyr Slobodkina ; traducido por Teresa Mlawer."
9780060254384,   94037254,Si le das una galletita a un raton / Laura Joffe Numeroff ; ilustrado por Felicia Bond ; traducido por Teresa Mlawer.
9780060254407,   94037255,Si le das un panecillo a un alce / por Laura Joffe Numeroff ; ilustrado por Felicia Bond ; traducido por Teresa Mlawer.
9780060254926,ocn825007979,Where the wild things are / story and pictures by Maurice Sendak.
9780060256555,in900010798,A giraffe and a half / by Shel Silverstein.
9780060256562,in900010798,A giraffe and a half / by Shel Silverstein.
9780060257781,   84043122,"Caps for sale : a tale of a peddler, some monkeys, and their monkey business / told and illustrated by Esphyr Slobodkina."
9780060260323,bt 90017056,Three magic balls / by Richard Egielski.
9780060260330,bt 90017056,Three magic balls / by Richard Egielski.
9780060261559,in900044185,A tree is nice / by Janice May Udry ; pictures by Marc Simont.
9780060262259,   95001675,El gran granero rojo / Margaret Wise Brown ; ilustrado por Felicia Bond ; traducido por Aida E. Marcuse.
9780060262969,   95035323,Going home / by Eve Bunting ; illustrated by David Diaz.
9780060262976,   95035323,Going home / by Eve Bunting ; illustrated by David Diaz.
9780060263850,in900811773,Charlotte's web / E.B. White ; pictures by Garth Williams ; [foreword by Kate KiCamillo].
9780060264253,in900035711,Farmer boy / by Laura Ingalls Wilder ; illustrated by Garth Williams.
9780060269456,in900044854,Mr. Rabbit and the lovely present / by Charlotte Zolotow ; pictures by Maurice Sendak.
9780060270872,   95026581,The grouchy ladybug / Eric Carle.
9780060270889,   95026581,The grouchy ladybug / Eric Carle.
9780060271060,   94043809,Bedtime for Frances / by Russell Hoban ; pictures by Garth Williams.
9780060271077,   94043809,Bedtime for Frances / by Russell Hoban ; pictures by Garth Williams.
9780060276041,   96045476,"Laughing out loud, I fly : poems in English and Spanish / Juan Felipe Herrera ; drawings by Karen Barbour."
9780060276058,   96045476,"Laughing out loud, I fly : poems in English and Spanish / Juan Felipe Herrera ; drawings by Karen Barbour."
9780060283155,   99042695,The miserable mill / by Lemony Snicket ; illustrations by Brett Helquist.
9780060283162,in900456026,Si le das un panqueque a una cerdita / por Laura Numeroff ; ilustrado por Felicia Bond ; traducido por Teresa Mlawer.
9780060284848,bt 99012975,Last one in is a rotten egg / Leonard Kessler.
9780060287610,  2002001300,I'm gonna like me : letting off a little self-esteem / by Jamie Lee Curtis ; illustrated by Laura Cornell.
9780060287627,  2002001300,I'm gonna like me : letting off a little self-esteem / by Jamie Lee Curtis ; illustrated by Laura Cornell.
9780060288884,   00024349,The austere academy / by Lemony Snicket ; illustrations by Brett Helquist.
9780060288891,   00044950,The ersatz elevator / by Lemony Snicket ; illustrations by Brett Helquist.
9780060288907,   00053511,The vile village / by Lemony Snicket ; illustrations by Brett Helquist.
